"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"njit-highlanders-columbia-lions-201603270127","20160327","home","columbia-lions","Ivy League", 63,80,127.23,103.37,0.48,0.37,0.80,11,25,6,8,13,"njit-highlanders","Independents", 63,65,102.90,126.65,0.41,0.48,0.62,5,21,2,1,14
"notre-dame-fighting-irish-north-carolina-tar-heels-201603270413","20160327","home","north-carolina-tar-heels","Atlantic Coast", 55,88,159.70,134.29,0.62,0.31,0.83,12,19,4,1,17,"notre-dame-fighting-irish","Atlantic Coast", 54,74,136.07,161.81,0.55,0.50,0.79,5,9,3,1,18
"syracuse-orange-virginia-cavaliers-201603270618","20160327","away","syracuse-orange","Atlantic Coast", 61,68,110.89,101.11,0.37,0.33,0.80,12,22,11,7,15,"virginia-cavaliers","Atlantic Coast", 64,62, 96.83,106.20,0.42,0.38,0.83,5,25,3,8,16
"uc-irvine-anteaters-coastal-carolina-chanticleers-201603270122","20160327","away","uc-irvine-anteaters","Big West", 61,66,108.82, 77.50,0.42,0.39,0.69,0,0,0,0,15,"coastal-carolina-chanticleers","Big South", 64,47, 73.87,103.73,0.27,0.23,0.78,0,0,0,0,14
