"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"eastern-washington-eagles-pittsburgh-panthers-201512110465","20151211","home","pittsburgh-panthers","Atlantic Coast", 66,84,127.13, 77.19,0.50,0.43,0.81,12,26,5,3,12,"eastern-washington-eagles","Big Sky", 63,51, 80.80,133.08,0.37,0.30,0.60,4,14,5,1,18
"prairie-view-am-panthers-tcu-horned-frogs-201512110576","20151211","home","tcu-horned-frogs","Big 12", 75,73, 97.43, 73.40,0.48,0.27,0.66,9,26,7,6,25,"prairie-view-am-panthers","Southwestern Athletic", 75,55, 73.17, 97.12,0.34,0.00,0.68,8,22,9,0,33
"valparaiso-crusaders-chicago-state-cougars-201512110112","20151211","away","valparaiso-crusaders","Horizon League", 65,71,108.56, 81.04,0.41,0.52,0.73,8,26,12,4,16,"chicago-state-cougars","Western Athletic", 64,53, 82.25,110.18,0.40,0.29,0.67,5,24,3,4,15
